iter	MAE
0	2304.638586
1	2271.92727
2	2248.61041
3	2218.267447
4	2191.00006
5	2160.43097
6	2141.083556
7	2115.995781
8	2091.656367
9	2074.772004
10	2060.049093
11	2043.614276
12	2027.77356
13	2012.4041
14	1997.575509
15	1983.143319
16	1969.131971
17	1954.908123
18	1948.213342
19	1939.053893
20	1932.776109
21	1924.088621
22	1915.674397
23	1907.494787
24	1899.582468
25	1891.901067
26	1884.437548
27	1879.403451
28	1872.453231
29	1865.711077
30	1861.215895
31	1856.830436
32	1850.573733
33	1843.449693
34	1837.550201
35	1833.707103
36	1828.198229
37	1822.869384
38	1817.700416
39	1812.674439
40	1807.80052
41	1803.083287
42	1798.501891
43	1794.048501
44	1789.743413
45	1785.689552
46	1781.746473
47	1777.974406
48	1774.218987
49	1770.580657
50	1767.050225
51	1764.805091
52	1761.425651
53	1759.561556
54	1757.74849
55	1755.30763
56	1752.943403
57	1751.287666
58	1748.488875
59	1745.769541
60	1743.658235
61	1742.195743
62	1740.77494
63	1738.816858
64	1736.939408
65	1735.693713
66	1733.934393
67	1732.889368
68	1731.871518
69	1730.887818
70	1729.39648
71	1728.465036
72	1727.562179
73	1726.684857
74	1725.839987
75	1725.021291
76	1723.91564
77	1722.798834
78	1721.719386
79	1721.296124
80	1720.263217
81	1719.871341
82	1718.909967
83	1717.969948
84	1717.063836
85	1716.180922
86	1715.332936
87	1715.030855
88	1714.261103
89	1714.0135
90	1713.773818
91	1713.038778
92	1712.725261
93	1711.979381
94	1711.258163
95	1710.555311
96	1710.337464
97	1709.680426
98	1709.028973
99	1708.386356
100	1707.766266
101	1707.18836
102	1706.640446
103	1706.07108
104	1705.558471
105	1705.022609
106	1704.536809
107	1704.027372
108	1703.536751
109	1703.06398
110	1702.638734
111	1702.232146
112	1701.833785
113	1701.452899
114	1701.345502
115	1700.975643
116	1700.611805
117	1700.511759
118	1700.163527
119	1700.069591
120	1699.740892
121	1699.421419
122	1699.112051
123	1699.028712
124	1698.729343
125	1698.436053
126	1698.150665
127	1697.87532
128	1697.607872
129	1697.350468
130	1697.102165
131	1696.906395
132	1696.670581
133	1696.441446
134	1696.221638
135	1696.003251
136	1695.793703
137	1695.74265
138	1695.542281
139	1695.491289
140	1695.298767
141	1695.237822
142	1695.054413
143	1694.874973
144	1694.701079
145	1694.529814
146	1694.366504
147	1694.206534
148	1694.051875
149	1693.902057
150	1693.756219
151	1693.613282
152	1693.581029
153	1693.445001
154	1693.311931
155	1693.184663
156	1693.060367
157	1693.030285
158	1692.910188
159	1692.790747
160	1692.760945
161	1692.648278
162	1692.540339
163	1692.517294
164	1692.413485
165	1692.312778
166	1692.215958
167	1692.119279
168	1692.027909
169	1691.937705
170	1691.871236
171	1691.785628
172	1691.702979
173	1691.623517
174	1691.544603
175	1691.469332
176	1691.395813
177	1691.323826
178	1691.253931
179	1691.187849
180	1691.122609
181	1691.056972
182	1690.995224
183	1690.93652
184	1690.8795
185	1690.824115
186	1690.7693
187	1690.71722
188	1690.665876
189	1690.654861
190	1690.605926
191	1690.55767
192	1690.54813
193	1690.502868
194	1690.458759
195	1690.415904
196	1690.373328
197	1690.332757
198	1690.29409
199	1690.285694
200	1690.247288
201	1690.240074
202	1690.202747
203	1690.19571
204	1690.1591
205	1690.123628
206	1690.09053
207	1690.058649
208	1690.026866
209	1690.002962
210	1689.973349
211	1689.964965
212	1689.935519
213	1689.908179
214	1689.881636
215	1689.873951
216	1689.847445
217	1689.820082
218	1689.795802
219	1689.772154
220	1689.749354
221	1689.727205
222	1689.705383
223	1689.684506
224	1689.664064
225	1689.644234
226	1689.640665
227	1689.620986
228	1689.602829
229	1689.584885
230	1689.57064
231	1689.552256
232	1689.535301
233	1689.517983
234	1689.502271
235	1689.487468
236	1689.472885
237	1689.458635
238	1689.447783
239	1689.43176
240	1689.418265
241	1689.416125
242	1689.403853
243	1689.391572
244	1689.379851
245	1689.3686
246	1689.357498
247	1689.346209
248	1689.335279
249	1689.323753
250	1689.313833
251	1689.304266
252	1689.29497
253	1689.28556
254	1689.276957
255	1689.268055
256	1689.259642
257	1689.249248
258	1689.239594
259	1689.232052
260	1689.230553
261	1689.222802
262	1689.215707
263	1689.208527
264	1689.202019
265	1689.195357
266	1689.188869
267	1689.182991
268	1689.174597
269	1689.168916
270	1689.164947
271	1689.159724
272	1689.154105
273	1689.150293
274	1689.143962
275	1689.139061
276	1689.13434
277	1689.130713
278	1689.125929
279	1689.121289
280	1689.116661
281	1689.112254
282	1689.108214
283	1689.104406
284	1689.102952
285	1689.098933
286	1689.094414
287	1689.090624
288	1689.088095
289	1689.084856
290	1689.081634
291	1689.076185
292	1689.073116
293	1689.069972
294	1689.066894
295	1689.064522
296	1689.0637
297	1689.058648
298	1689.055933
299	1689.053138
300	1689.050432
301	1689.048007
302	1689.045031
303	1689.044113
304	1689.0418
305	1689.039628
306	1689.037296
307	1689.035028
308	1689.032873
309	1689.03096
310	1689.030312
311	1689.026491
312	1689.026205
313	1689.024406
314	1689.024174
315	1689.022218
316	1689.020345
317	1689.018452
318	1689.016682
319	1689.01514
320	1689.013583
321	1689.013022
322	1689.011209
323	1689.009759
324	1689.008171
325	1689.006805
326	1689.003194
327	1689.00179
328	1689.000566
329	1688.999342
330	1688.996882
331	1688.993835
332	1688.992782
333	1688.991772
334	1688.990804
335	1688.989642
336	1688.988521
337	1688.985231
338	1688.984329
339	1688.983299
340	1688.982417
341	1688.981443
342	1688.981336
343	1688.98055
344	1688.979556
345	1688.979022
346	1688.978289
347	1688.977539
348	1688.976995
349	1688.976246
350	1688.975316
351	1688.974532
352	1688.973886
353	1688.973136
354	1688.972426
355	1688.972202
356	1688.97193
357	1688.971329
358	1688.970784
359	1688.970256
360	1688.969714
361	1688.969102
362	1688.968356
363	1688.967854
364	1688.967107
365	1688.966605
366	1688.966074
367	1688.966018
368	1688.965574
369	1688.965062
370	1688.964575
371	1688.964534
372	1688.964153
373	1688.96376
374	1688.963373
375	1688.963001
376	1688.962966
377	1688.962528
378	1688.962048
379	1688.961574
380	1688.961236
381	1688.960773
382	1688.960662
383	1688.960345
384	1688.960059
385	1688.95971
386	1688.959423
387	1688.959317
388	1688.957722
389	1688.957463
390	1688.955077
391	1688.954818
392	1688.954796
393	1688.95451
394	1688.954096
395	1688.953691
396	1688.953483
397	1688.953216
398	1688.951665
399	1688.951194
400	1688.950947
401	1688.950748
402	1688.950434
403	1688.950205
404	1688.948813
405	1688.948457
406	1688.948202
407	1688.947991
408	1688.946397
409	1688.945937
410	1688.945746
411	1688.945477
412	1688.944541
413	1688.942603
414	1688.942482
415	1688.94235
416	1688.94234
417	1688.942164
418	1688.941973
419	1688.941812
420	1688.941654
421	1688.941503
422	1688.940184
423	1688.940073
424	1688.939933
425	1688.937988
426	1688.937847
427	1688.937839
428	1688.93771
429	1688.937582
430	1688.937494
431	1688.937373
432	1688.936525
433	1688.936411
434	1688.935282
435	1688.935134
436	1688.933251
437	1688.933065
438	1688.932988
439	1688.932835
440	1688.932739
441	1688.931653
442	1688.931585
443	1688.931489
444	1688.931424
445	1688.931361
446	1688.931203
447	1688.931144
448	1688.931066
449	1688.930917
450	1688.927816
451	1688.927087
452	1688.926547
453	1688.925558
454	1688.925491
455	1688.925411
456	1688.924464
457	1688.924401
458	1688.922586
459	1688.922518
460	1688.922461
461	1688.921548
462	1688.920411
463	1688.919551
464	1688.919514
465	1688.919462
466	1688.919426
467	1688.919423
468	1688.919375
469	1688.919347
470	1688.919301
471	1688.918472
472	1688.918427
473	1688.918398
474	1688.918176
475	1688.917376
476	1688.917349
477	1688.916487
478	1688.915733
479	1688.915542
480	1688.915505
481	1688.91547
482	1688.915435
483	1688.914707
484	1688.914685
485	1688.914664
486	1688.914633
487	1688.914571
488	1688.913852
489	1688.91117
490	1688.911141
491	1688.910478
492	1688.910461
493	1688.909716
494	1688.908844
495	1688.90824
496	1688.908214
497	1688.90819
498	1688.907604
499	1688.906937
500	1688.906385
501	1688.906362
502	1688.906349
503	1688.906332
504	1688.906311
505	1688.905777
506	1688.905757
507	1688.905124
508	1688.905105
509	1688.904472
510	1688.904454
511	1688.903968
512	1688.903017
513	1688.902999
514	1688.902982
515	1688.902261
516	1688.901818
517	1688.901388
518	1688.900971
519	1688.900955
520	1688.900947
521	1688.900932
522	1688.900843
523	1688.900356
