iter	Passed	Remaining
0	11	11216
1	20	10222
2	28	9609
3	38	9508
4	53	10655
5	67	11103
6	75	10730
7	86	10675
8	95	10463
9	102	10109
10	110	9961
11	119	9866
12	128	9772
13	137	9683
14	146	9626
15	155	9569
16	164	9502
17	173	9448
18	181	9387
19	191	9392
20	201	9385
21	210	9341
22	220	9359
23	229	9341
24	237	9259
25	245	9196
26	254	9159
27	262	9106
28	271	9083
29	279	9042
30	286	8969
31	295	8939
32	304	8921
33	313	8897
34	321	8874
35	331	8866
36	339	8848
37	348	8820
38	357	8797
39	366	8797
40	376	8803
41	384	8768
42	396	8831
43	406	8842
44	419	8896
45	429	8898
46	439	8912
47	450	8928
48	459	8913
49	468	8893
50	477	8877
51	486	8875
52	495	8852
53	504	8829
54	512	8810
55	521	8791
56	530	8772
57	538	8752
58	547	8725
59	555	8709
60	565	8702
61	574	8685
62	582	8659
63	590	8642
64	599	8623
65	607	8591
66	615	8572
67	623	8547
68	633	8548
69	641	8525
70	651	8524
71	661	8531
72	671	8529
73	680	8510
74	688	8487
75	699	8503
76	708	8493
77	717	8481
78	726	8469
79	733	8436
80	742	8425
81	751	8410
82	760	8402
83	769	8390
84	778	8377
85	787	8368
86	796	8355
87	804	8336
88	813	8323
89	821	8310
90	829	8287
91	839	8286
92	849	8285
93	861	8300
94	874	8326
95	894	8419
96	907	8446
97	916	8439
98	926	8430
99	935	8420
100	945	8413
101	955	8409
102	963	8394
103	972	8380
104	981	8362
105	990	8354
106	998	8335
107	1007	8323
108	1016	8311
109	1025	8300
110	1035	8290
111	1044	8280
112	1053	8268
113	1062	8255
114	1070	8237
115	1080	8231
116	1089	8222
117	1098	8208
118	1107	8199
119	1116	8186
120	1125	8173
121	1134	8161
122	1144	8162
123	1155	8162
124	1166	8163
125	1177	8165
126	1190	8184
127	1202	8194
128	1214	8201
129	1226	8207
130	1235	8195
131	1250	8224
132	1263	8239
133	1276	8252
134	1291	8272
135	1306	8298
136	1322	8328
137	1332	8325
138	1345	8336
139	1355	8326
140	1365	8316
141	1374	8307
142	1384	8295
143	1397	8307
144	1410	8319
145	1422	8320
146	1432	8312
147	1449	8342
148	1463	8358
149	1474	8353
150	1484	8346
151	1495	8341
152	1506	8340
153	1517	8335
154	1528	8331
155	1538	8324
156	1549	8321
157	1560	8314
158	1570	8306
159	1579	8292
160	1588	8277
161	1597	8264
162	1608	8257
163	1615	8236
164	1626	8229
165	1636	8220
166	1645	8206
167	1655	8199
168	1665	8189
169	1675	8179
170	1683	8162
171	1694	8156
172	1704	8146
173	1713	8133
174	1723	8123
175	1732	8109
176	1741	8098
177	1751	8087
178	1762	8083
179	1772	8075
180	1781	8062
181	1791	8052
182	1800	8040
183	1810	8030
184	1823	8033
185	1832	8020
186	1842	8010
187	1853	8004
188	1863	7994
189	1872	7983
190	1882	7973
191	1892	7963
192	1899	7944
193	1908	7928
194	1917	7917
195	1927	7905
196	1937	7897
197	1946	7885
198	1959	7886
199	1968	7873
200	1977	7862
201	1985	7842
202	1994	7830
203	2002	7813
204	2011	7800
205	2020	7789
206	2029	7776
207	2039	7765
208	2049	7755
209	2058	7742
210	2068	7733
211	2077	7720
212	2086	7709
213	2095	7696
214	2104	7684
215	2113	7672
216	2123	7661
217	2132	7649
218	2141	7636
219	2150	7625
220	2160	7613
221	2169	7604
222	2178	7591
223	2188	7583
224	2198	7572
225	2207	7560
226	2218	7553
227	2227	7541
228	2236	7529
229	2245	7516
230	2253	7502
231	2262	7489
232	2271	7477
233	2280	7463
234	2289	7451
235	2297	7437
236	2306	7424
237	2315	7413
238	2324	7400
239	2333	7388
240	2342	7376
241	2349	7359
242	2358	7345
243	2367	7334
244	2376	7322
245	2384	7309
246	2393	7296
247	2402	7285
248	2411	7273
249	2420	7261
250	2429	7249
251	2438	7237
252	2447	7226
253	2456	7214
254	2464	7201
255	2473	7189
256	2482	7177
257	2491	7165
258	2500	7152
259	2509	7141
260	2517	7128
261	2526	7117
262	2535	7105
263	2547	7101
264	2555	7088
265	2564	7075
266	2572	7063
267	2581	7050
268	2590	7038
269	2598	7026
270	2606	7012
271	2615	7000
272	2625	6991
273	2634	6979
274	2642	6967
275	2651	6956
276	2661	6948
277	2670	6936
278	2680	6927
279	2691	6920
280	2702	6914
281	2715	6914
282	2725	6905
283	2735	6896
284	2744	6885
285	2754	6877
286	2764	6867
287	2778	6867
288	2788	6860
289	2798	6852
290	2809	6844
291	2818	6834
292	2828	6824
293	2837	6814
294	2846	6803
295	2855	6791
296	2865	6781
297	2875	6774
298	2886	6767
299	2896	6759
300	2906	6749
301	2915	6739
302	2925	6729
303	2934	6718
304	2944	6709
305	2953	6698
306	2962	6688
307	2971	6677
308	2981	6667
309	2990	6655
310	2999	6644
311	3008	6634
312	3016	6621
313	3026	6611
314	3033	6597
315	3043	6588
316	3053	6579
317	3064	6573
318	3075	6565
319	3086	6558
320	3097	6551
321	3107	6542
322	3116	6532
323	3126	6523
324	3136	6513
325	3146	6504
326	3156	6495
327	3165	6485
328	3175	6476
329	3186	6470
330	3196	6461
331	3207	6453
332	3216	6441
333	3225	6431
334	3234	6420
335	3244	6411
336	3254	6402
337	3263	6392
338	3272	6381
339	3281	6370
340	3291	6360
341	3300	6350
342	3308	6336
343	3316	6325
344	3326	6315
345	3335	6304
346	3344	6293
347	3353	6283
348	3362	6272
349	3371	6262
350	3381	6251
351	3390	6241
352	3400	6231
353	3409	6222
354	3419	6212
355	3428	6202
356	3440	6196
357	3449	6186
358	3458	6175
359	3467	6164
360	3476	6153
361	3485	6143
362	3494	6132
363	3503	6121
364	3512	6110
365	3520	6099
366	3530	6088
367	3537	6075
368	3546	6064
369	3555	6054
370	3564	6043
371	3571	6029
372	3580	6018
373	3589	6008
374	3598	5997
375	3608	5987
376	3615	5974
377	3624	5963
378	3634	5955
379	3643	5945
380	3652	5934
381	3661	5924
382	3670	5913
383	3679	5903
384	3688	5892
385	3697	5881
386	3706	5871
387	3715	5860
388	3724	5849
389	3732	5838
390	3741	5827
391	3750	5817
392	3757	5803
393	3766	5793
394	3777	5786
395	3786	5775
396	3795	5764
397	3806	5757
398	3815	5747
399	3824	5736
400	3833	5726
401	3842	5715
402	3852	5707
403	3861	5696
404	3870	5686
405	3879	5676
406	3888	5665
407	3897	5655
408	3906	5644
409	3915	5634
410	3924	5624
411	3933	5613
412	3941	5602
413	3953	5595
414	3961	5583
415	3970	5573
416	3977	5560
417	3986	5550
418	3993	5538
419	4002	5527
420	4012	5517
421	4022	5508
422	4031	5498
423	4040	5488
424	4049	5479
425	4058	5468
426	4068	5459
427	4075	5446
428	4084	5436
429	4093	5426
430	4102	5416
431	4111	5406
432	4120	5395
433	4129	5385
434	4138	5375
435	4147	5364
436	4155	5354
437	4164	5343
438	4176	5337
439	4186	5328
440	4195	5317
441	4205	5309
442	4214	5299
443	4222	5288
444	4232	5278
445	4241	5268
446	4251	5259
447	4260	5249
448	4269	5239
449	4278	5228
450	4287	5219
451	4296	5208
452	4305	5198
453	4314	5188
454	4323	5178
455	4332	5168
456	4340	5157
457	4349	5147
458	4368	5149
459	4379	5140
460	4399	5143
461	4410	5136
462	4422	5129
463	4434	5122
464	4444	5114
465	4454	5104
466	4463	5094
467	4471	5082
468	4480	5073
